"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"30609","IKBKG","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [KO:K07210]","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [KO:K07210]","8517","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30610","INS","insulin [KO:K04526]","insulin","insulin [KO:K04526]","3630","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30611","INSR","K04527","insulin receptor","2.7.10.1","3643","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30612","IRS1","insulin receptor substrate 1 [KO:K16172]","insulin receptor substrate 1","insulin receptor substrate 1 [KO:K16172]","3667","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30613","IRS2","insulin receptor substrate 2 [KO:K07187]","insulin receptor substrate 2","insulin receptor substrate 2 [KO:K07187]","8660","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30614","IRS4","insulin receptor substrate 4 [KO:K17446]","insulin receptor substrate 4","insulin receptor substrate 4 [KO:K17446]","8471","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30615","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]","phosphoinositide-3-kinase regulatory subunit 1","phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]","5295","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30616","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]","phosphoinositide-3-kinase regulatory subunit 2","phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]","5296","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30617","PIK3R3","phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]","phosphoinositide-3-kinase regulatory subunit 3","phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]","8503","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30618","PIK3CA","K00922","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","2.7.1.153","5290","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30619","PIK3CD","K00922","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","2.7.1.153","5293","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30620","PIK3CB","K00922","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","2.7.1.153","5291","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30621","AKT1","K04456","AKT serine/threonine kinase 1","2.7.11.1","207","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30622","AKT2","K04456","AKT serine/threonine kinase 2","2.7.11.1","208","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30623","AKT3","K04456","AKT serine/threonine kinase 3","2.7.11.1","10000","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30624","MTOR","K07203","mechanistic target of rapamycin kinase","2.7.11.1","2475","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30625","ULK1","K21357","unc-51 like autophagy activating kinase 1","2.7.11.1","8408","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30626","ULK2","K08269","unc-51 like autophagy activating kinase 2","2.7.11.1","9706","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30627","ATG101","autophagy related 101 [KO:K19730]","autophagy related 101","autophagy related 101 [KO:K19730]","60673","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30628","ATG13","autophagy related 13 [KO:K08331]","autophagy related 13","autophagy related 13 [KO:K08331]","9776","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30629","RB1CC1","RB1 inducible coiled-coil 1 [KO:K17589]","RB1 inducible coiled-coil 1","RB1 inducible coiled-coil 1 [KO:K17589]","9821","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30630","AMBRA1","autophagy and beclin 1 regulator 1 [KO:K17985]","autophagy and beclin 1 regulator 1","autophagy and beclin 1 regulator 1 [KO:K17985]","55626","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30631","BECN1","beclin 1 [KO:K08334]","beclin 1","beclin 1 [KO:K08334]","8678","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30632","BECN2","beclin 2 [KO:K08334]","beclin 2","beclin 2 [KO:K08334]","441925","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30633","PIK3R4","K08333","phosphoinositide-3-kinase regulatory subunit 4","2.7.11.1","30849","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30634","ATG14","autophagy related 14 [KO:K17889]","autophagy related 14","autophagy related 14 [KO:K17889]","22863","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30635","NRBF2","nuclear receptor binding factor 2 [KO:K21246]","nuclear receptor binding factor 2","nuclear receptor binding factor 2 [KO:K21246]","29982","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30636","PIK3C3","K00914","phosphatidylinositol 3-kinase catalytic subunit type 3","2.7.1.137","5289","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30637","ATG2A","autophagy related 2A [KO:K17906]","autophagy related 2A","autophagy related 2A [KO:K17906]","23130","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30638","ATG2B","autophagy related 2B [KO:K17906]","autophagy related 2B","autophagy related 2B [KO:K17906]","55102","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30639","WIPI2","WD repeat domain, phosphoinositide interacting 2 [KO:K17908]","WD repeat domain, phosphoinositide interacting 2","WD repeat domain, phosphoinositide interacting 2 [KO:K17908]","26100","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30640","WIPI1","WD repeat domain, phosphoinositide interacting 1 [KO:K17908]","WD repeat domain, phosphoinositide interacting 1","WD repeat domain, phosphoinositide interacting 1 [KO:K17908]","55062","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30641","ADORA2A","adenosine A2a receptor [KO:K04266]","adenosine A2a receptor","adenosine A2a receptor [KO:K04266]","135","hsa05012","Parkinson disease","Human Diseases","Neurodegenerative disease"
"30642","GNAL","G protein subunit alpha L [KO:K04633]","G protein subunit alpha L","G protein subunit alpha L [KO:K04633]","2774","hsa05012","Parkinson disease","Human Diseases","Neurodegenerative disease"
"30643","GNAS","GNAS complex locus [KO:K04632]","GNAS complex locus","GNAS complex locus [KO:K04632]","2778","hsa05012","Parkinson disease","Human Diseases","Neurodegenerative disease"
